AGI,Agi Greenpac Ltd,Capital Goods,Packaging
AGIIL,Agi Infra Ltd,Realty,Residential- Commercial Projects
AGNI,Agni Green Power Ltd,Power,Power Generation
AGRITECH,Agri- Tech (India) Ltd,Fast Moving Consumer Goods,Other Agricultural Products
AGROPHOS,Agro Phos India Ltd,Chemicals,Fertilizers
AGSTRA,AGS Transact Technologies Ltd,Financial Services,Financial Technology (Fintech)
AGUL,A G Universal Ltd,Services,Trading & Distributors
AHIMSA,Ahimsa Industries Ltd,Capital Goods,Plastic Products - Industrial
AHLADA,Ahlada Engineers Ltd,Capital Goods,Iron & Steel Products
AHLEAST,Asian Hotels (East) Ltd ,Consumer Services,Hotels & Resorts
AHLUCONT,Ahluwalia Contracts (India) Ltd ,Construction,Civil Construction
AIAENG,Aia Engineering Ltd ,Capital Goods,Castings & Forgings
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,Non Banking Financial Company (NBFC)
AILIMITED,Abhishek Integrations Ltd,Construction,Civil Construction
AIMTRON,Aimtron Electronics Ltd,Capital Goods,Industrial Products
AIRAN,Airan Ltd,Information Technology,IT Enabled Services
AIROLAM,Airo Lam Ltd,Consumer Durables,Plywood Boards/ Laminates
AISL,Ani Integrated Services Ltd,Services,Diversified Commercial Services
AJANTPHARM,Ajanta Pharma Ltd ,Healthcare,Pharmaceuticals
AJAXENGG,Ajax Engineering Ltd,Capital Goods,Industrial Products
AJMERA,Ajmera Realty & Infra India Ltd ,Realty,Residential- Commercial Projects
AJOONI,Ajooni Biotech Ltd,Fast Moving Consumer Goods,Animal Feed
AKANKSHA,Akanksha Power And Infrastructure Ltd,Consumer Durables,Consumer Electronics
AKASH,Akash Infraprojects Ltd,Construction,Civil Construction
AKG,Akg Exim Ltd,Services,Trading & Distributors
AKI,Aki India Ltd,Consumer Durables,Gems- Jewellery And Watches
AKIKO,Akiko Global Services Ltd,Financial Services,Non Banking Financial Company (NBFC)
AKSHAR,Akshar Spintex Ltd,Textiles,Other Textile Products
AKSHARCHEM,Aksharchem (India) Ltd ,Chemicals,Dyes And Pigments
AKSHOPTFBR,Aksh Optifibre Ltd ,Telecommunication,Telecom -  Equipment & Accessories
AKUMS,Akums Drugs and Pharmaceuticals Ltd,Healthcare,Pharmaceuticals
AKZOINDIA,Akzo Nobel India Limited,Consumer Durables,Paints
ALANKIT,Alankit Ltd,Services,Diversified Commercial Services
ALBERTDAVD,Albert David Ltd ,Healthcare,Pharmaceuticals
ALEMBICLTD,Alembic Ltd ,Healthcare,Pharmaceuticals
ALICON,Alicon Castalloy Limited,Automobile and Auto Components,Auto Components & Equipments
ALIVUS,Alivus Life Sciences Ltd,Healthcare,Pharmaceuticals
ALKALI,Alkali Metals Ltd ,Chemicals,Specialty Chemicals
ALKEM,Alkem Laboratories Ltd,Healthcare,Pharmaceuticals
ALKYLAMINE,Alkyl Amines Chemicals Ltd ,Chemicals,Specialty Chemicals
ALLCARGO,Allcargo Logistics Ltd ,Services,Logistics Solution Provider
ALLDIGI,Alldigi Tech Ltd,Services,Business Process Outsourcing (BPO)/ Kno
ALLETEC,All E Technologies Ltd,Information Technology,IT Enabled Services
ALMONDZ,Almondz Global Securities Ltd ,Financial Services,Stockbroking & Allied
ALOKINDS,Alok Industries Ltd ,Textiles,Other Textile Products
ALPA,Alpa Laboratories Ltd ,Healthcare,Pharmaceuticals
