,
Company,Market Cap (Cr)
BLS International Services Ltd.,"9,937"
Medplus Health Services Ltd.,"9,883"
Mahanagar Gas Ltd.,"9,860"
Balrampur Chini Mills Ltd.,"9,835"
Clean Max Enviro Energy Solutions Ltd.,"9,825"
PCBL Chemical Ltd.,"9,817"
Vesuvius India Ltd.,"9,716"
HEG Ltd.,"9,705"
Tamilnad Mercantile Bank Ltd.,"9,703"
Sanofi Consumer Healthcare India Ltd.,"9,700"
Azad Engineering Ltd.,"9,507"
SBFC Finance Ltd.,"9,481"
South Indian Bank Ltd.,"9,449"
Prudent Corporate Advisory Services Ltd.,"9,449"
Vijaya Diagnostic Centre Ltd.,"9,438"
Reliance Power Ltd.,"9,430"
Ramkrishna Forgings Ltd.,"9,418"
Cemindia Projects Ltd.,"9,402"
Intellect Design Arena Ltd.,"9,323"
Rites Ltd.,"9,311"
Cyient Ltd.,"9,248"
Jubilant Ingrevia Ltd.,"9,241"
Sterlite Technologies Ltd.,"9,231"
MMTC Ltd.,"9,113"
Honasa Consumer Ltd.,"9,073"
Cello World Ltd.,"9,041"
Sandur Manganese & Iron Ores Ltd.,"9,011"
NCC Ltd.,"9,003"
Waaree Renewable Technologies Ltd.,"8,992"
Nazara Technologies Ltd.,"8,982"
Karnataka Bank Ltd.,"8,978"
Railtel Corporation of India Ltd.,"8,900"
Elecon Engineering Company Ltd.,"8,868"
Eureka Forbes Ltd.,"8,840"
Sharda Cropchem Ltd.,"8,783"
Aavas Financiers Ltd.,"8,757"
Black Box Ltd.,"8,754"
Voltamp Transformers Ltd.,"8,749"
Atlanta Electricals Ltd.,"8,747"
Garware Hi-Tech Films Ltd.,"8,733"
Astra Microwave Products Ltd.,"8,712"
G R Infraprojects Ltd.,"8,629"
Vedant Fashions Ltd.,"8,626"
Titagarh Rail Systems Ltd.,"8,599"
IIFL Capital Services Ltd.,"8,595"
Transformers & Rectifiers (India) Ltd.,"8,576"
Star Cement Ltd.,"8,523"
Park Medi World Ltd.,"8,495"
Lemon Tree Hotels Ltd.,"8,494"
Strides Pharma Science Ltd.,"8,452"
Bata India Ltd.,"8,439"
Viyash Scientific Ltd.,"8,435"
Jupiter Life Line Hospitals Ltd.,"8,399"
Aequs Ltd.,"8,387"
Olectra Greentech Ltd.,"8,375"
ASK Automotive Ltd.,"8,195"
Esab India Ltd.,"8,186"
Bluestone Jewellery and Lifestyle Ltd.,"8,161"
GMR Power and Urban Infra Ltd.,"8,141"
Healthcare Global Enterprises Ltd.,"8,100"
CarTrade Tech Ltd.,"8,071"
TSF Investments Ltd.,"8,069"
Time Technoplast Ltd.,"8,059"
Banco Products (India) Ltd.,"7,984"
Procter & Gamble Health Ltd.,"7,983"
Sanofi India Ltd.,"7,898"
India Shelter Finance Corporation Ltd.,"7,815"
Orkla India Ltd.,"7,778"
Triveni Engineering & Industries Ltd.,"7,757"
Varroc Engineering Ltd.,"7,754"
Tejas Networks Ltd.,"7,740"
SKF India Ltd.,"7,737"
Safari Industries (India) Ltd.,"7,725"
RHI Magnesita India Ltd.,"7,678"
Va Tech Wabag Ltd.,"7,672"
P N Gadgil Jewellers Ltd.,"7,665"
Jyothy Labs Ltd.,"7,651"
Manorama Industries Ltd.,"7,650"
Amagi Media Labs Ltd.,"7,618"
Maharashtra Seamless Ltd.,"7,609"
Genus Power Infrastructures Ltd.,"7,583"
Jeena Sikho Lifecare Ltd.,"7,571"
KPI Green Energy Ltd.,"7,510"
Marksans Pharma Ltd.,"7,491"
Mahindra Lifespace Developers Ltd.,"7,485"
Nesco Ltd.,"7,468"
Akums Drugs & Pharmaceuticals Ltd.,"7,468"
JK Lakshmi Cement Ltd.,"7,456"
Religare Enterprises Ltd.,"7,435"
Clean Science & Technology Ltd.,"7,429"
Tata Teleservices (Maharashtra) Ltd.,"7,394"
Gujarat Pipavav Port Ltd.,"7,383"
Transport Corporation of India Ltd.,"7,288"
LE Travenues Technology Ltd.,"7,248"
Zee Entertainment Enterprises Ltd.,"7,189"
Apollo Micro Systems Ltd.,"7,182"
Archean Chemical Industries Ltd.,"7,106"
Jayaswal Neco Industries Ltd.,"7,059"
Pearl Global Industries Ltd.,"7,037"
Aditya Birla Fashion and Retail Ltd.,"7,021"
V2 Retail Ltd.,"7,016"
Vikram Solar Ltd.,"6,982"
Campus Activewear Ltd.,"6,957"
HMT Ltd.,"6,944"
Dilip Buildcon Ltd.,"6,908"
Kirloskar Pneumatic Company Ltd.,"6,906"
Relaxo Footwears Ltd.,"6,864"
Embassy Developments Ltd.,"6,850"
Transrail Lighting Ltd.,"6,838"
Sudeep Pharma Ltd.,"6,832"
PC Jeweller Ltd.,"6,806"
Indian Metals & Ferro Alloys Ltd.,"6,801"
Westlife Foodworld Ltd.,"6,744"
Diamond Power Infrastructure Ltd.,"6,693"
Alkyl Amines Chemicals Ltd.,"6,676"
SEDEMAC Mechatronics Ltd.,"6,649"
ISGEC Heavy Engineering Ltd.,"6,640"
Tips Music Ltd.,"6,624"
Saregama India Ltd.,"6,588"
Sonata Software Ltd.,"6,587"
Redtape Ltd.,"6,581"
Pricol Ltd.,"6,554"
Dynamatic Technologies Ltd.,"6,521"
Rashtriya Chemicals & Fertilizers Ltd.,"6,520"
KRBL Ltd.,"6,516"
TTK Prestige Ltd.,"6,508"
Equitas Small Finance Bank Ltd.,"6,481"
CSB Bank Ltd.,"6,470"
Welspun Enterprises Ltd.,"6,466"
Alok Industries Ltd.,"6,465"
Quality Power Electrical Equipments Ltd.,"6,459"
Lloyds Enterprises Ltd.,"6,438"
Shadowfax Technologies Ltd.,"6,424"
WeWork India Management Ltd.,"6,403"
Blue Jet Healthcare Ltd,"6,394"
Avalon Technologies Ltd.,"6,369"
Power Mech Projects Ltd.,"6,358"
Newgen Software Technologies Ltd.,"6,326"
Birla Corporation Ltd.,"6,326"
Prism Johnson Ltd.,"6,310"
Yatharth Hospital & Trauma Care Services Ltd.,"6,302"
Gujarat State Fertilizer & Chemicals Ltd.,"6,298"
Shilpa Medicare Ltd.,"6,248"
Max Estates Ltd.,"6,225"
Shakti Pumps (India) Ltd.,"6,199"
Gujarat Ambuja Exports Ltd.,"6,198"
Fujiyama Power Systems Ltd.,"6,195"
Kalpataru Ltd.,"6,158"
Cera Sanitaryware Ltd.,"6,156"
Sudarshan Chemical Industries Ltd.,"6,155"
AXISCADES Technologies Ltd.,"6,140"
